profile,split,kind,source,metric,count,min,p10,p25,median,p75,p90,max,mean
texture_noise_shape_response_area6,train-validation,false_positive,predicted,pixelArea,1766,14.0,19.0,24.0,36.0,70.0,103.0,645.0,52.544734
texture_noise_shape_response_area6,train-validation,false_positive,predicted,ringProminence,1766,14.526316,24.0,27.147143,31.985294,38.169276,45.473611,165.222222,33.867432
texture_noise_shape_response_area6,train-validation,true_positive,predicted,area,117,6.5,35.3,59.5,134.0,318.0,563.0,2719.0,248.871795
texture_noise_shape_response_area6,train-validation,true_positive,predicted,circularity,117,0.012394,0.030288,0.043235,0.072344,0.117625,0.154911,0.323076,0.08818
texture_noise_shape_response_area6,train-validation,true_positive,predicted,componentMean,117,19.954545,23.806493,25.156716,27.879464,31.966486,35.113069,40.222985,28.613436
texture_noise_shape_response_area6,train-validation,true_positive,predicted,componentPeak,117,27.0,53.0,63.0,89.0,139.0,154.4,188.0,99.367521
texture_noise_shape_response_area6,train-validation,true_positive,predicted,elongation,117,1.0,1.069444,1.193548,1.4,1.666667,2.61,4.52,1.607517
texture_noise_shape_response_area6,train-validation,true_positive,predicted,fillRatio,117,0.081582,0.135084,0.184659,0.258929,0.37,0.439479,0.622768,0.276146
texture_noise_shape_response_area6,train-validation,true_positive,predicted,pixelArea,117,16.0,66.8,101.0,207.0,399.0,699.4,3037.0,327.290598
texture_noise_shape_response_area6,train-validation,true_positive,predicted,ringProminence,117,19.022222,45.416882,55.260116,82.148148,131.96063,146.210141,178.468966,91.5776
undersegmentation_closeonly_kernel3,train-validation,false_negative,ground_truth,area,17,0.0,8.9,63.0,101.5,735.5,1223.5,6837.5,713.058824
undersegmentation_closeonly_kernel3,train-validation,false_negative,ground_truth,circularity,17,0.0,0.07808,0.213205,0.500989,0.589358,0.704532,0.793113,0.423215
undersegmentation_closeonly_kernel3,train-validation,false_negative,ground_truth,componentMean,17,3.917892,4.361604,4.915254,5.713831,7.675,9.631532,37.0,7.927684
undersegmentation_closeonly_kernel3,train-validation,false_negative,ground_truth,componentPeak,17,4.0,14.2,28.0,34.0,48.0,53.4,100.0,37.647059
